"id","zip_type","zip","zip_complement","short_name","long_name","state_id/unique_code","country_id/code"
7846,20,2149,3,"Brot-Dessous","Brot-Dessous","CH_NE","CH"
7848,20,9249,2,"Oberstetten","Oberstetten","CH_SG","CH"
7849,20,9249,1,"Niederstetten","Niederstetten","CH_SG","CH"
7850,20,8564,8,"Gunterswilen","Gunterswilen","CH_TG","CH"
7851,40,4065,0,"Basel SBB Cargo AG","Basel SBB Cargo AG","CH_BS","CH"
7856,80,1806,60,"St-Légier Dist","St-Légier/Blonay Dist","CH_VD","CH"
7860,80,8618,70,"Oetwil am See Dist","Oetwil am See Dist Fil","CH_ZH","CH"
7862,20,3815,2,"Gündlischwand","Gündlischwand","CH_BE","CH"
7864,80,1023,2,"Crissier 2","Crissier 2","CH_VD","CH"
7865,30,1023,1,"Crissier 1","Crissier 1","CH_VD","CH"
7866,20,3860,3,"Schattenhalb","Schattenhalb","CH_BE","CH"
7903,20,2610,3,"Les Pontins","Les Pontins","CH_BE","CH"
7904,20,1617,2,"Tatroz","Tatroz","CH_FR","CH"
7935,40,8075,0,"Zürich","Zürich Benissimo spezial","CH_ZH","CH"
7949,20,1096,2,"Villette (Lavaux)","Villette (Lavaux)","CH_VD","CH"
7950,40,4080,0,"Basel","Basel","CH_BS","CH"
7952,20,6383,4,"Wirzweli","Wirzweli","CH_NW","CH"
7959,20,2333,2,"La Cibourg","La Cibourg","CH_BE","CH"
7960,20,2616,2,"La Cibourg","La Cibourg","CH_BE","CH"
7964,20,8556,4,"Lamperswil TG","Lamperswil TG","CH_TG","CH"
7966,20,6039,0,"Root Längenbold","Root Längenbold","CH_LU","CH"
7977,20,2037,2,"Montezillon","Montezillon","CH_NE","CH"
7981,30,3000,47,"Bern 7 Bärenplatz","Bern 7 Bärenplatz","CH_BE","CH"
7993,20,1820,5,"Territet","Territet","CH_VD","CH"
7999,30,3963,1,"Crans-Montana 1","Crans-Montana 1","CH_VS","CH"
8000,30,3963,2,"Crans-Montana 2","Crans-Montana 2","CH_VS","CH"
8002,30,6939,0,"Arosio-Mugena","Arosio-Mugena","CH_TI","CH"
8003,80,8253,60,"Diessenhofen Zust","Diessenhofen Zustellung","CH_TG","CH"
8004,20,2338,2,"Muriaux","Muriaux","CH_JU","CH"
8005,20,2748,2,"Les Ecorcheresses","Les Ecorcheresses","CH_BE","CH"
8006,80,6830,20,"Chiasso 1 ZF","Chiasso 1 ZF","CH_TI","CH"
8007,80,6900,89,"Lugano MailSource","Lugano MailSource","CH_TI","CH"
