"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
6146,20,1754,4,"Avry-sur-Matran","Avry-sur-Matran","res_country_state_ch_fr","base.ch"
6147,20,1783,4,"Barberêche","Barberêche","res_country_state_ch_fr","base.ch"
6148,20,1774,2,"Montagny-les-Monts","Montagny-les-Monts","res_country_state_ch_fr","base.ch"
6149,30,1110,3,"Morges 3","Morges 3","res_country_state_ch_vd","base.ch"
6154,40,9029,0,"St. Gallen","St. Gallen Sonderdienste","res_country_state_ch_sg","base.ch"
6155,20,1585,2,"Bellerive VD","Bellerive VD","res_country_state_ch_vd","base.ch"
6156,20,2052,2,"La Vue-des-Alpes","La Vue-des-Alpes","res_country_state_ch_ne","base.ch"
6157,20,3656,2,"Ringoldswil","Ringoldswil","res_country_state_ch_be","base.ch"
6165,20,4922,2,"Thunstetten","Thunstetten","res_country_state_ch_be","base.ch"
6166,30,1709,0,"Fribourg","Fribourg","res_country_state_ch_fr","base.ch"
6167,80,1400,3,"Yverdon","Yverdon","res_country_state_ch_vd","base.ch"
6168,30,8879,0,"Pizolpark (Mels)","Pizolpark (Mels)","res_country_state_ch_sg","base.ch"
6177,20,1195,3,"Bursinel","Bursinel","res_country_state_ch_vd","base.ch"
6179,40,6207,2,"Nottwil SPZ","Nottwil Paraplegikerzentrum","res_country_state_ch_lu","base.ch"
6183,80,3000,88,"Bern Radio Schweiz","Bern Radio Schweiz","res_country_state_ch_be","base.ch"
6185,20,3900,3,"Brigerbad","Brigerbad","res_country_state_ch_vs","base.ch"
6186,10,8118,0,"Pfaffhausen","Pfaffhausen","res_country_state_ch_zh","base.ch"
6191,80,5601,0,"Lenzburg Sonderdst","Lenzburg Sonderdienste","res_country_state_ch_ag","base.ch"
6192,20,1428,1,"Provence","Provence","res_country_state_ch_vd","base.ch"
6193,20,2715,1,"Châtelat","Châtelat","res_country_state_ch_be","base.ch"
6194,20,1091,3,"Chenaux","Chenaux","res_country_state_ch_vd","base.ch"
6196,40,9028,0,"St. Gallen","St. Gallen","res_country_state_ch_sg","base.ch"
6197,40,9027,0,"St. Gallen","St. Gallen Mona Versand","res_country_state_ch_sg","base.ch"
6201,40,1811,0,"Vevey","Vevey Services spéciaux","res_country_state_ch_vd","base.ch"
6203,20,6600,4,"Solduno","Solduno","res_country_state_ch_ti","base.ch"
6204,30,1723,2,"Marly 2","Marly 2","res_country_state_ch_fr","base.ch"
6205,40,3609,0,"Thun","Thun","res_country_state_ch_be","base.ch"
6206,30,1723,1,"Marly 1","Marly 1","res_country_state_ch_fr","base.ch"
6216,20,6363,2,"Bürgenstock","Bürgenstock","res_country_state_ch_nw","base.ch"
6218,20,8832,2,"Wilen b. Wollerau","Wilen b. Wollerau","res_country_state_ch_sz","base.ch"
6219,10,1754,5,"Avry-Centre FR","Avry-Centre FR","res_country_state_ch_fr","base.ch"
6220,20,5316,2,"Felsenau AG","Felsenau AG","res_country_state_ch_ag","base.ch"
6221,20,1775,2,"Mannens","Mannens","res_country_state_ch_fr","base.ch"
6222,20,1775,3,"Grandsivaz","Grandsivaz","res_country_state_ch_fr","base.ch"
6224,40,1211,14,"Genève 14","Genève 14","res_country_state_ch_ge","base.ch"
6226,20,8926,2,"Hauptikon","Hauptikon","res_country_state_ch_zh","base.ch"
6227,20,8926,3,"Uerzlikon","Uerzlikon","res_country_state_ch_zh","base.ch"
6228,80,8036,65,"Zürich Corona","Zürich Corona","res_country_state_ch_zh","base.ch"
6230,20,1026,3,"Echandens","Echandens","res_country_state_ch_vd","base.ch"
6231,80,1260,76,"Nyon car postal","Nyon car postal La Côte-Ju","res_country_state_ch_vd","base.ch"
6232,80,1400,76,"Yverdon car postal","Yverdon car postal VD-Broye","res_country_state_ch_vd","base.ch"
6233,80,1951,76,"Sion car postal","Sion car postal VS-Léman","res_country_state_ch_vs","base.ch"
6234,80,3900,76,"Brig Postauto","Brig Postauto Oberwallis","res_country_state_ch_vs","base.ch"
6235,80,8050,76,"Zürich Postauto","Zürich Postauto Zürich","res_country_state_ch_zh","base.ch"
6236,80,8500,76,"Frauenfeld Pauto","Frauenfeld Postauto TG-SH","res_country_state_ch_tg","base.ch"
6237,20,5405,2,"Dättwil AG","Dättwil AG","res_country_state_ch_ag","base.ch"
6238,20,5406,2,"Rütihof","Rütihof","res_country_state_ch_ag","base.ch"
6239,20,8106,2,"Adlikon b.Regensdf","Adlikon b. Regensdorf","res_country_state_ch_zh","base.ch"
6240,80,9400,60,"Rorschach Zust","Rorschach Zustellung","res_country_state_ch_sg","base.ch"
6241,20,6343,2,"Buonas","Buonas","res_country_state_ch_zg","base.ch"
6242,20,6343,3,"Risch","Risch","res_country_state_ch_zg","base.ch"
6243,20,6343,4,"Holzhäusern ZG","Holzhäusern ZG","res_country_state_ch_zg","base.ch"
6244,20,3945,1,"Niedergampel","Niedergampel","res_country_state_ch_vs","base.ch"
6245,20,1965,8,"Drône VS","Drône VS","res_country_state_ch_vs","base.ch"
6256,80,1110,60,"Morges Dist","Morges Distribution","res_country_state_ch_vd","base.ch"
